model,r2,rmse,mae,weighted_rmse,weighted_mae
B0: constant (train wmean),-0.008786960760495566,2.565322574725778,2.014400039926971,2.643362204465439,2.08492726033957
B1: tenure-group mean,-0.03262868535438379,2.5954600319924817,2.0446240196170535,2.676008517145241,2.1181265998528853
B2: tenure x income-quintile mean,-0.04522499638861177,2.6112421448604977,2.054757154964945,2.6874039947667185,2.126039765169386
