archetype_name,archetype_value,year,inflation_rate
tenure_type,own_mortgage,2016,0.9971071510217283
tenure_type,own_mortgage,2017,2.767486020635578
tenure_type,own_mortgage,2018,2.179308014464459
tenure_type,own_mortgage,2019,1.7846585418993657
tenure_type,own_mortgage,2020,0.8594809271320694
tenure_type,own_mortgage,2021,3.514843777736447
tenure_type,own_mortgage,2022,9.030972447593687
tenure_type,own_mortgage,2023,5.853858476768251
tenure_type,own_mortgage,2024,2.6460672554659834
tenure_type,own_outright,2016,1.0965511344282182
tenure_type,own_outright,2017,2.8188355535115406
tenure_type,own_outright,2018,2.2557859535055598
tenure_type,own_outright,2019,1.7730884474859812
tenure_type,own_outright,2020,0.8093954163209168
tenure_type,own_outright,2021,3.902323995175848
tenure_type,own_outright,2022,8.875206269297985
tenure_type,own_outright,2023,5.524438006631635
tenure_type,own_outright,2024,2.5045054983417825
tenure_type,private_rent,2016,1.17269748712196
tenure_type,private_rent,2017,2.2206127363855988
tenure_type,private_rent,2018,1.7215803716315805
tenure_type,private_rent,2019,1.5232435170940206
tenure_type,private_rent,2020,1.0617353804728078
tenure_type,private_rent,2021,2.9518879644079186
tenure_type,private_rent,2022,7.342236495551514
tenure_type,private_rent,2023,6.0055647313292395
tenure_type,private_rent,2024,4.261248132209644
tenure_type,social_rent,2016,0.9061204109108849
tenure_type,social_rent,2017,2.4988777184024764
tenure_type,social_rent,2018,1.8870229557481835
tenure_type,social_rent,2019,1.6711552809641637
tenure_type,social_rent,2020,0.9503825250660312
tenure_type,social_rent,2021,3.0887951529041224
tenure_type,social_rent,2022,8.3103560394437
tenure_type,social_rent,2023,6.242439881526034
tenure_type,social_rent,2024,3.677046301874281
tenure_type,unknown,2016,1.0052970934525922
tenure_type,unknown,2017,2.8080757543693324
tenure_type,unknown,2018,2.0263257696501147
tenure_type,unknown,2019,1.8115813583216924
tenure_type,unknown,2020,0.8362369811205509
tenure_type,unknown,2021,3.3847594980023796
tenure_type,unknown,2022,8.988986137839124
tenure_type,unknown,2023,5.487722411237233
tenure_type,unknown,2024,2.7959851077055884
income_quintile,1.0,2016,0.8925431527200315
income_quintile,1.0,2017,2.591497609923087
income_quintile,1.0,2018,1.960342984914481
income_quintile,1.0,2019,1.7369820967213492
income_quintile,1.0,2020,0.8832834890763215
income_quintile,1.0,2021,3.1479809658427156
income_quintile,1.0,2022,8.708922312408413
income_quintile,1.0,2023,6.180653697060855
income_quintile,1.0,2024,3.3065688917843667
income_quintile,2.0,2016,0.9927171457504731
income_quintile,2.0,2017,2.602592428887636
income_quintile,2.0,2018,2.0089553082932317
income_quintile,2.0,2019,1.7147570340343952
income_quintile,2.0,2020,0.9156314600582242
income_quintile,2.0,2021,3.2567207384636947
income_quintile,2.0,2022,8.660251151683447
income_quintile,2.0,2023,6.101339015054058
income_quintile,2.0,2024,3.1844314558846167
income_quintile,3.0,2016,1.0392315232311224
income_quintile,3.0,2017,2.6396310511521803
income_quintile,3.0,2018,2.067724663967551
income_quintile,3.0,2019,1.7072057010577786
income_quintile,3.0,2020,0.8930392430381097
income_quintile,3.0,2021,3.499836738028821
income_quintile,3.0,2022,8.491590479563104
income_quintile,3.0,2023,5.80629092678653
income_quintile,3.0,2024,3.0216468091819975
income_quintile,4.0,2016,1.1003333518901168
income_quintile,4.0,2017,2.692990172821581
income_quintile,4.0,2018,2.115379214367803
income_quintile,4.0,2019,1.7134376565013507
income_quintile,4.0,2020,0.8985022386894295
income_quintile,4.0,2021,3.6621755680233883
income_quintile,4.0,2022,8.590876493629983
income_quintile,4.0,2023,5.572734892268667
income_quintile,4.0,2024,2.940057165541164
income_quintile,5.0,2016,1.1842785329196248
income_quintile,5.0,2017,2.731917371929257
income_quintile,5.0,2018,2.2243021024908645
income_quintile,5.0,2019,1.7202568179861812
income_quintile,5.0,2020,0.8762885766677104
income_quintile,5.0,2021,3.784406085808566
income_quintile,5.0,2022,8.448979269005186
income_quintile,5.0,2023,5.530774539695491
income_quintile,5.0,2024,2.851233993025633
