epoch,train_loss,val_loss,lr
1,2.213463322313475,1.9827520847320557,0.000999938933078422
2,2.0803699576932297,1.961531639099121,0.000999755747381037
3,2.0623209044242845,1.9479087591171265,0.000999450488106175
4,2.0427849483836384,1.935275673866272,0.0009990232305719944
5,2.0312577214572265,1.9212340116500854,0.0009984740801978983
6,2.026533625797758,1.917068600654602,0.0009978031724785245
7,2.0074529917846307,1.9106709957122803,0.000997010672950314
8,2.001651078551702,1.9085766077041626,0.0009960967771506664
9,2.0060248278006587,1.9098159074783325,0.0009950617105696957
10,1.996259970534769,1.9091284275054932,0.0009939057285945929
11,1.9891690807471665,1.9026501178741455,0.0009926291164466126
12,2.0005639243776545,1.90110445022583,0.0009912321891107005
13,1.9944252367820632,1.8971744775772095,0.0009897152912577737
14,1.9853118718925309,1.898274540901184,0.0009880787971596797
15,1.9853749940313161,1.898939847946167,0.0009863231105968495
16,1.9866989487680262,1.8950361013412476,0.000984448664758672
17,1.9839073937122327,1.8911266326904297,0.0009824559221366096
18,1.990674862530851,1.8944551944732666,0.0009803453744100864
19,1.9806936266253339,1.8942590951919556,0.0009781175423251728
20,1.979383125622511,1.8960151672363281,0.0009757729755661004
21,1.977106857931283,1.8904848098754883,0.0009733122526196342
22,1.96888760375682,1.8924390077590942,0.000970735980632341
23,1.9690092691145076,1.8905526399612427,0.0009680447952607838
24,1.975962620213856,1.8869906663894653,0.0009652393605146839
25,1.9728546132288365,1.887711763381958,0.0009623203685930864
26,1.970756720764882,1.8891825675964355,0.00095928853971357
27,1.969163076535423,1.888054609298706,0.0009561446219345448
28,1.9628669248881658,1.883177638053894,0.0009528893909706791
29,1.959973959656684,1.8842653036117554,0.0009495236500015041
30,1.9647709607173647,1.8848521709442139,0.0009460482294732414
31,1.9619562702965407,1.8800472021102905,0.0009424639868939027
32,1.9684755413269308,1.8827036619186401,0.0009387718066217117
33,1.962559268732308,1.8859055042266846,0.000934972599646904
34,1.9579095748913085,1.8864103555679321,0.0009310673033669515
35,1.959166447462349,1.8767681121826172,0.0009270568813552751
36,1.9559290982888304,1.8763744831085205,0.0009229423231234969
37,1.9598319708757244,1.8778895139694214,0.0009187246438772933
38,1.955960331620859,1.8796195983886719,0.0009144048842659075
39,1.9506322220902659,1.873897910118103,0.0009099841101253861
40,1.9488196143169068,1.8763704299926758,0.0009054634122155986
41,1.9566014627569484,1.8723512887954712,0.0009008439059511095
42,1.9516264064012712,1.8760703802108765,0.0008961267311259663
43,1.9514082537539281,1.8776918649673462,0.0008913130516324727
44,1.9565847740998041,1.8743939399719238,0.0008864040551740151
45,1.9510516366330068,1.8751076459884644,0.0008814009529720148
46,1.9482578757932314,1.8782494068145752,0.000876304979467077
47,1.9498558102616304,1.8750039339065552,0.0008711173920144112
48,1.9467261285049613,1.8681800365447998,0.0008658394705735982
49,1.9502454491064147,1.8674298524856567,0.0008604725173927781
50,1.9429906599162883,1.871253490447998,0.0008550178566873404
51,1.9418506073832256,1.8705581426620483,0.000849476834313195
52,1.946174007671575,1.8660337924957275,0.0008438508174347004
53,1.9450413832552205,1.8681128025054932,0.0008381411941873373
54,1.9439858582819933,1.8672409057617188,0.0008323493733352072
55,1.945033216008646,1.8632848262786865,0.0008264767839234404
56,1.9441659980815595,1.868298053741455,0.0008205248749256009
57,1.9468941462549805,1.8664252758026123,0.0008144951148861735
58,1.9411420512886035,1.8644050359725952,0.000808388991558223
59,1.9356555984080948,1.867561936378479,0.0008022080115363122
60,1.938886679572984,1.8660813570022583,0.0007959536998847738
61,1.94121641585594,1.8641804456710815,0.0007896275997614225
62,1.9437242811835709,1.8652304410934448,0.0007832312720368043
63,1.938631215476771,1.866191029548645,0.0007767662949090748
64,1.9445141386680784,1.8680819272994995,0.0007702342635146029
65,1.9455251674391951,1.8662794828414917,0.0007636367895343943
