feature,coefficient,std_err,p_value,ci_lower,ci_upper,significant
const,-0.24298789706080356,0.030393098375825354,1.3354087707238696e-15,-0.3025592522521123,-0.18341654186949483,True
tenure_own_mortgage,-0.017629930327133166,0.02410669344352775,0.46458275966749774,-0.06487974934376337,0.02961988868949703,False
tenure_private_rent,-0.037479371758766145,0.02482483401501903,0.131115082452882,-0.0861367671446297,0.011178023627097411,False
tenure_social_rent,-0.1615697155498604,0.027630564924335205,5.032630870340614e-09,-0.21572642497417197,-0.10741300612554885,True
age_30_to_49,-0.10521369035963178,0.021491959746805435,9.847920309036696e-07,-0.14733855541954322,-0.06308882529972035,True
age_65_to_74,-0.2544366112797263,0.026270562860568808,3.704975513995582e-22,-0.30592767717537467,-0.20294554538407786,True
age_75_plus,-0.694410376368472,0.02776696807560576,7.059675720483472e-137,-0.7488344399293403,-0.6399863128076038,True
age_under_30,0.045991156154811544,0.031793685087915545,0.1480315838040257,-0.016325389654131488,0.10830770196375458,False
income_quintile,0.14848858773947,0.006208730306546972,1.931786468595025e-125,0.1363192960863182,0.16065787939262177,True
