feature,coefficient,std_err,p_value,ci_lower,ci_upper,significant
const,0.7600142311716913,0.024337898321417736,2.760474989416513e-211,0.7123112434043958,0.8077172189389868,True
tenure_own_mortgage,0.02418851789192828,0.016066115865164765,0.13218856254418368,-0.007301535951770362,0.055678571735626924,False
tenure_private_rent,-0.04431089078504848,0.02109384368076614,0.03567810046743619,-0.08565543721136519,-0.002966344358731776,True
tenure_social_rent,-0.01322830972765445,0.020408286130093982,0.516870500318629,-0.05322914343804155,0.026772523982732645,False
age_30_to_49,-0.01672825013593028,0.014336292816237547,0.24328007954888978,-0.044827800549431585,0.011371300277571019,False
age_65_to_74,-0.05495243347723566,0.017522468969724883,0.0017133958379012275,-0.0892969817154054,-0.020607885239065933,True
age_75_plus,-0.041690555396398876,0.018898128098881504,0.02738545273121533,-0.07873143549295168,-0.0046496752998460705,True
age_under_30,0.03778804772455301,0.021279352695538382,0.07577288439429496,-0.003920101760069503,0.07949619720917553,False
income_quintile,-0.004163667264510996,0.004328405440967813,0.33608601508643765,-0.012647467676343564,0.004320133147321572,False
share_01_food_non_alcoholic,-5.10664966398343,0.059617150491766906,0.0,-5.223501010926855,-4.989798317040005,True
share_02_alcohol_tobacco,4.696551916227819,0.09106221592664193,0.0,4.518067327499438,4.875036504956201,True
share_03_clothing_footwear,-5.649175932153672,0.08239382650802221,0.0,-5.810670225790112,-5.487681638517232,True
share_04_housing_fuel_power,-0.6878455839340339,0.04364900822351113,9.168756674802989e-56,-0.773398908130001,-0.6022922597380669,True
share_05_furnishings,-2.223823666179101,0.05178890742134759,0.0,-2.3253314292807357,-2.1223159030774665,True
share_06_health,0.3735423699452671,0.11019582464823005,0.0007001642029236865,0.15755535225871498,0.5895293876318193,True
share_07_transport,5.00992745774576,0.041453906526918924,0.0,4.928676596646549,5.09117831884497,True
share_08_communication,1.213056083855716,0.1276400434742223,2.1440493371631634e-21,0.9628778904860098,1.4632342772254223,True
share_09_recreation_culture,-0.9807991111441274,0.04447377870044679,4.449490323143715e-107,-1.0679690094358727,-0.8936292128523822,True
share_10_education,6.370742569292706,0.1149570901773828,0.0,6.145423332846158,6.596061805739255,True
share_11_restaurants_hotels,2.349339335241995,0.06104528432925119,0.0,2.229688804487386,2.4689898659966043,True
share_12_misc_goods_services,-4.604851543743215,0.06795211054052033,0.0,-4.738039654526954,-4.471663432959476,True
