hrp_age_band,n,mean_actual_excess,mean_predicted_excess,mean_actual_household_inflation
under_30,580,1.164827827304864,0.23130226797048056,134.04243938256855
30_to_49,2693,0.08734820861464081,0.14298166813823435,133.01719650413995
50_to_64,2338,-0.07591895833273776,0.22239349696055397,132.86400324489145
65_to_74,1643,-0.3845965498280453,-0.10171106317627797,132.52196047022647
75_plus,1167,-0.38488314018157743,-0.4476517292620768,132.54264572735255
