feature,coefficient,abs_coefficient
share_07_transport,0.682337341363113,0.682337341363113
share_01_food_non_alcoholic,-0.47009587497356137,0.47009587497356137
share_12_misc_goods_services,-0.3362506405319856,0.3362506405319856
share_03_clothing_footwear,-0.3360584531057658,0.3360584531057658
share_02_alcohol_tobacco,0.270389399994067,0.270389399994067
share_10_education,0.2628394791738688,0.2628394791738688
share_11_restaurants_hotels,0.21282005856083125,0.21282005856083125
share_05_furnishings,-0.2080602588444251,0.2080602588444251
share_09_recreation_culture,-0.10259176042278194,0.10259176042278194
share_04_housing_fuel_power,-0.08878578289086347,0.08878578289086347
share_08_communication,0.05314109131948651,0.05314109131948651
share_06_health,0.02318805310718803,0.02318805310718803
hrp_age_band_65_to_74,-0.02136741748225348,0.02136741748225348
tenure_type_private_rent,-0.0158613434927604,0.0158613434927604
hrp_age_band_75_plus,-0.013621514811174585,0.013621514811174585
tenure_type_own_mortgage,0.01180961013937425,0.01180961013937425
hrp_age_band_under_30,0.0097856373582995,0.0097856373582995
hrp_age_band_30_to_49,-0.007883337484198913,0.007883337484198913
income_quintile,-0.005845169380506108,0.005845169380506108
tenure_type_social_rent,-0.004660402849219213,0.004660402849219213
